LineId,Content,EventId,EventTemplate
49,CPU: Intel Pentium III (Coppermine) stepping 06,E56,CPU: Intel Pentium III (Coppermine) stepping <*>
50,Enabling fast FPU save and restore... done.,E62,Enabling fast FPU save and restore... done.
51,Enabling unmasked SIMD FPU exception support... done.,E25,Enabling unmasked SIMD FPU exception support... done.
52,Checking 'hlt' instruction... OK.,E146,Checking <*> instruction... OK.
53,POSIX conformance testing by UNIFIX,E107,POSIX conformance testing by UNIFIX
54,NET: Registered protocol family 16,E132,NET: Registered protocol family <*>
55,"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1",E78,"PCI: PCI BIOS revision <*> entry at <*>, last bus=<*>"
56,PCI: Using configuration type 1,E162,PCI: Using configuration type <*>
57,ACPI: Subsystem revision 20040326,E205,ACPI: Subsystem revision <*>
58,ACPI: Interpreter disabled.,E169,ACPI: Interpreter disabled.
59,Linux Plug and Play Support v0.97 (c) Adam Belay,E76,Linux Plug and Play Support <*> (c) Adam Belay
60,usbcore: registered new driver usbfs,E149,usbcore: registered new driver <*>
61,usbcore: registered new driver hub,E149,usbcore: registered new driver <*>
62,rpc.idmapd startup succeeded,E283,<*> startup succeeded
63,ACPI: ACPI tables contain no PCI IRQ routing entries,E29,ACPI: ACPI tables contain no PCI IRQ routing entries
64,PCI: Invalid ACPI-PCI IRQ routing table,E83,PCI: Invalid ACPI-PCI IRQ routing table
65,Initializing random number generator: succeeded,E32,Initializing random number generator: succeeded
66,PCI: Probing PCI hardware,E203,PCI: Probing PCI hardware
67,PCI: Probing PCI hardware (bus 00),E151,PCI: Probing PCI hardware (bus <*>)
68,Transparent bridge - 0000:00:1e.0,E255,Transparent bridge - <*>
69,PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,E112,PCI: Using IRQ router PIIX/ICH [<*>] at <*>
70,apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),E79,apm: BIOS version <*> Flags <*> (Driver version <*>)
71,audit: initializing netlink socket (disabled),E45,audit: initializing netlink socket (disabled)
72,audit(1118297138.4294965368:0): initialized,E238,audit(<*>): initialized
73,"Total HugeTLB memory allocated, 0",E133,"Total HugeTLB memory allocated, <*>"
74,Starting pcmcia: succeeded,E181,Starting pcmcia: succeeded
75,VFS: Disk quotas dquot_6.5.1,E300,VFS: Disk quotas <*>
76,"Dquot-cache hash table entries: 1024 (order 0, 4096 bytes)",E51,Dquot-cache hash table entries: <*> (order <*> bytes)
77,SELinux: Registering netfilter hooks,E94,SELinux: Registering netfilter hooks
78,Initializing Cryptographic API,E127,Initializing Cryptographic API
79,pci_hotplug: PCI Hot Plug PCI Core version: 0.5,E65,pci_hotplug: PCI Hot Plug PCI Core version: <*>
80,isapnp: Scanning for PnP cards...,E123,isapnp: Scanning for PnP cards...
81,isapnp: No Plug & Play device found,E122,isapnp: No Plug & Play device found
82,Real Time Clock Driver v1.12,E237,Real Time Clock Driver <*>
83,Linux agpgart interface v0.100 (c) Dave Jones,E86,Linux agpgart interface <*> (c) Dave Jones
84,agpgart: Detected an Intel i810 E Chipset.,E161,agpgart: Detected an <*> Chipset.
85,agpgart: Maximum main memory to use for agp memory: 93M,E35,agpgart: Maximum main memory to use for agp memory: <*>
86,hcid startup succeeded,E283,<*> startup succeeded
87,agpgart: detected 4MB dedicated video ram.,E85,agpgart: detected <*> dedicated video ram.
88,HCI daemon ver 2.4 started,E240,HCI daemon ver <*> started
89,Setting network parameters: succeeded,E84,Setting network parameters: succeeded
90,sdpd startup succeeded,E283,<*> startup succeeded
91,agpgart: AGP aperture is 64M @ 0xf4000000,E206,agpgart: AGP aperture is <*> @ <*>
92,Bringing up loopback interface: succeeded,E64,Bringing up loopback interface: succeeded
93,"Serial: 8250/16550 driver $Revision: 1.90 $ 8 ports, IRQ sharing enabled",E23,"Serial: <*> driver $Revision: <*> $ <*> ports, IRQ sharing enabled"
94,RAMDISK driver initialized: 16 RAM disks of 16384K size 1024 blocksize,E22,RAMDISK driver initialized: <*> RAM disks of <*> size <*> blocksize
95,Uniform Multi-Platform E-IDE driver Revision: 7.00alpha2,E48,Uniform Multi-Platform E-IDE driver Revision: <*>
96,Mounting other filesystems: succeeded,E80,Mounting other filesystems: succeeded
97,ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=xx,E10,ide: Assuming <*> system bus speed for PIO modes; override with idebus=<*>
98,ICH: IDE controller at PCI slot 0000:00:1f.1,E163,ICH: IDE controller at PCI slot <*>
99,"Version 3.0.2 (APM BIOS 1.2, Linux driver 1.16ac)",E138,"Version <*> (APM BIOS <*>, Linux driver <*>)"
100,apmd startup succeeded,E283,<*> startup succeeded
101,ICH: chipset revision 2,E241,ICH: chipset revision <*>
102,"ide0: BM-DMA at 0xffa0-0xffa7, BIOS settings: hda:DMA, hdb:pio",E70,"ide0: BM-DMA at <*>, BIOS settings: hda:<*>, hdb:<*>"
103,automount startup succeeded,E283,<*> startup succeeded
104,"ide1: BM-DMA at 0xffa8-0xffaf, BIOS settings: hdc:DMA, hdd:pio",E69,"ide1: BM-DMA at <*>, BIOS settings: hdc:<*>, hdd:<*>"
105,Using cfq io scheduler,E281,Using <*> io scheduler
106,Home page is http://smartmontools.sourceforge.net/,E324,Home page is <*>
107,"ide0 at 0x1f0-0x1f7,0x3f6 on irq 14",E319,ide0 at <*> on irq <*>
108,Opened configuration file /etc/smartd.conf,E195,Opened configuration file <*>
109,Configuration file /etc/smartd.conf parsed.,E183,Configuration file <*> parsed.
110,"Device: /dev/hda, opened",E294,"Device: <*>, opened"
111,"ide1 at 0x170-0x177,0x376 on irq 15",E320,ide1 at <*> on irq <*>
112,Charge: * * * (-1% unknown),E243,Charge: * * * (<*> unknown)
113,"Device: /dev/hda, found in smartd database.",E116,"Device: <*>, found in smartd database."
114,hda: max request size: 128KiB,E239,hda: max request size: <*>
115,"Device: /dev/hda, is SMART capable. Adding to ""monitor"" list.",E28,"Device: <*>, is SMART capable. Adding to ""monitor"" list."
116,"hda: 29336832 sectors (15020 MB) w/1916KiB Cache, CHS=29104/16/63, UDMA(66)",E90,"hda: <*> sectors (<*>) w/<*> Cache, CHS=<*>, UDMA(<*>)"
117,Monitoring 1 ATA and 0 SCSI devices,E155,Monitoring <*> ATA and <*> SCSI devices
118,smartd has fork()ed into background mode. New PID=1757.,E31,smartd has fork()ed into background mode. New PID=<*>.
119,smartd startup succeeded,E283,<*> startup succeeded
120,Uniform CD-ROM driver Revision: 3.20,E131,Uniform CD-ROM driver Revision: <*>
121,ide-floppy driver 0.99.newide,E280,ide-floppy driver <*>
122,usbcore: registered new driver hiddev,E149,usbcore: registered new driver <*>
123,usbcore: registered new driver hid,E149,usbcore: registered new driver <*>
124,mice: PS/2 mouse device common for all mice,E104,mice: <*> mouse device common for all mice
125,"serio: i8042 AUX port at 0x60,0x64 irq 12",E191,serio: i8042 AUX port at <*> irq <*>
126,input: ImPS/2 Logitech Wheel Mouse on isa0060/serio1,E334,input: <*> on <*>
127,"serio: i8042 KBD port at 0x60,0x64 irq 1",E189,serio: i8042 KBD port at <*> irq <*>
128,input: AT Translated Set 2 keyboard on isa0060/serio0,E334,input: <*> on <*>
129,"md: md driver 0.90.0 MAX_MD_DEVS=256, MD_SB_DISKS=27",E68,"md: md driver <*> MAX_MD_DEVS=<*>, MD_SB_DISKS=<*>"
130,NET: Registered protocol family 2,E132,NET: Registered protocol family <*>
131,"IP: routing cache hash table of 512 buckets, 4Kbytes",E89,"IP: routing cache hash table of <*> buckets, <*>"
132,TCP: Hash tables configured (established 8192 bind 16384),E50,TCP: Hash tables configured (established <*> bind <*>)
133,Initializing IPsec netlink socket,E114,Initializing IPsec netlink socket
134,NET: Registered protocol family 1,E132,NET: Registered protocol family <*>
135,NET: Registered protocol family 17,E132,NET: Registered protocol family <*>
136,checking if image is initramfs...it isn't (no cpio magic); looks like an initrd,E3,checking if image is initramfs...it isn't (no cpio magic); looks like an initrd
137,Freeing initrd memory: 186k freed,E172,Freeing initrd memory: <*> freed
138,md: Autodetecting RAID arrays.,E142,md: Autodetecting RAID arrays.
139,md: autorun ...,E307,md: autorun ...
140,RAMDISK: Compressed image found at block 0,E75,RAMDISK: Compressed image found at block <*>
141,Starting hpoj: succeeded,E202,Starting hpoj: succeeded
142,VFS: Mounted root (ext2 filesystem).,E99,VFS: Mounted root (ext2 filesystem).
143,EXT3-fs: write access will be enabled during recovery.,E24,EXT3-fs: write access will be enabled during recovery.
144,kjournald starting. Commit interval 5 seconds,E55,kjournald starting. Commit interval <*> seconds
145,EXT3-fs: hda2: 4 orphan inodes deleted,E134,EXT3-fs: <*>: <*> orphan inodes deleted
146,EXT3-fs: recovery complete.,E170,EXT3-fs: recovery complete.
147,EXT3-fs: mounted filesystem with ordered data mode.,E27,EXT3-fs: mounted filesystem with ordered data mode.
148,Freeing unused kernel memory: 144k freed,E110,Freeing unused kernel memory: <*> freed
149,SELinux: Disabled at runtime.,E160,SELinux: Disabled at runtime.
150,SELinux: Unregistering netfilter hooks,E74,SELinux: Unregistering netfilter hooks
151,NET: Registered protocol family 10,E132,NET: Registered protocol family <*>
152,Disabled Privacy Extensions on device 022db720(lo),E77,Disabled Privacy Extensions on device <*>(<*>)
153,IPv6 over IPv4 tunneling driver,E144,IPv6 over IPv4 tunneling driver
154,USB Universal Host Controller Interface driver v2.2,E47,USB Universal Host Controller Interface driver <*>
155,PCI: Found IRQ 11 for device 0000:00:1f.2,E218,PCI: Found IRQ <*> for device <*>
156,uhci_hcd 0000:00:1f.2: UHCI Host Controller,E150,uhci_hcd <*>: UHCI Host Controller
157,"uhci_hcd 0000:00:1f.2: irq 11, io base 0000ff80",E250,"uhci_hcd <*>: irq <*>, io base <*>"
158,"uhci_hcd 0000:00:1f.2: new USB bus registered, assigned bus number 1",E26,"uhci_hcd <*>: new USB bus registered, assigned bus number <*>"
159,"EXT3 FS on hda2, internal journal",E185,"EXT3 FS on <*>, internal journal"
160,cdrom: open failed.,E263,cdrom: open failed.
161,Adding 262072k swap on /dev/hda3. Priority:-1 extents:1,E120,Adding <*> swap on <*>. Priority:<*> extents:<*>
162,kjournald starting. Commit interval 5 seconds,E55,kjournald starting. Commit interval <*> seconds
163,"EXT3 FS on hda1, internal journal",E185,"EXT3 FS on <*>, internal journal"
164,EXT3-fs: mounted filesystem with ordered data mode.,E27,EXT3-fs: mounted filesystem with ordered data mode.
165,microcode: CPU0 already at revision 0x8 (current=0x8),E49,microcode: CPU0 already at revision <*> (current=<*>)
166,microcode: No suitable data for cpu 0,E117,microcode: No suitable data for cpu <*>
167,"parport0: PC-style at 0x378 (0x778) [PCSPP,TRISTATE,EPP]",E199,parport0: PC-style at <*> (<*>) [<*>]
168,parport0: irq 7 detected,E223,parport0: irq <*> detected
169,SCSI subsystem initialized,E182,SCSI subsystem initialized
170,inserting floppy driver for 2.6.5-1.358,E184,inserting floppy driver for <*>
171,Floppy drive(s): fd0 is 1.44M,E266,Floppy drive(s): <*> is <*>
172,FDC 0 is a National Semiconductor PC87306,E156,FDC <*> is a National Semiconductor <*>
173,PCI: Found IRQ 5 for device 0000:01:0c.0,E218,PCI: Found IRQ <*> for device <*>
174,3c59x: Donald Becker and others. www.scyld.com/network/vortex.html,E196,<*>: Donald Becker and others. <*>
175,ip_tables: (C) 2000-2002 Netfilter core team,E118,ip_tables: (C) <*> Netfilter core team
176,PCI: Found IRQ 5 for device 0000:01:0c.0,E218,PCI: Found IRQ <*> for device <*>
177,3c59x: Donald Becker and others. www.scyld.com/network/vortex.html,E196,<*>: Donald Becker and others. <*>
178,ip_tables: (C) 2000-2002 Netfilter core team,E118,ip_tables: (C) <*> Netfilter core team
179,process `syslogd' is using obsolete setsockopt SO_BSDCOMPAT,E30,process <*> is using obsolete setsockopt SO_BSDCOMPAT
180,Bluetooth: Core ver 2.4,E310,Bluetooth: <*> ver <*>
181,NET: Registered protocol family 31,E132,NET: Registered protocol family <*>
182,Bluetooth: HCI device and connection manager initialized,E18,Bluetooth: HCI device and connection manager initialized
183,Bluetooth: HCI socket layer initialized,E72,Bluetooth: HCI socket layer initialized
184,Bluetooth: L2CAP ver 2.1,E310,Bluetooth: <*> ver <*>
185,Bluetooth: RFCOMM ver 1.2,E310,Bluetooth: <*> ver <*>
186,Bluetooth: RFCOMM socket layer initialized,E58,Bluetooth: RFCOMM socket layer initialized
187,Bluetooth: RFCOMM TTY layer initialized,E71,Bluetooth: RFCOMM TTY layer initialized
188,"parport0: PC-style at 0x378 (0x778) [PCSPP,TRISTATE,EPP]",E199,parport0: PC-style at <*> (<*>) [<*>]
189,parport0: irq 7 detected,E223,parport0: irq <*> detected
190,cupsd startup succeeded,E283,<*> startup succeeded
191,succeeded,E328,succeeded
192,xinetd startup succeeded,E283,<*> startup succeeded
193,No such internal service: services/stream - DISABLING,E102,No such internal service: <*> - DISABLING
194,sendmail startup succeeded,E283,<*> startup succeeded
195,sm-client startup succeeded,E283,<*> startup succeeded
196,bind failed (Address already in use (errno = 98)). service = telnet,E21,bind failed (Address already in use (errno = <*>)). service = <*>
197,Service telnet failed to start and is deactivated.,E34,Service telnet failed to start and is deactivated.
198,xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,E41,xinetd Version <*> started with <*> options compiled in.
199,Started working: 30 available services,E101,Started working: <*> available services
200,spamd startup succeeded,E283,<*> startup succeeded
201,Jun 09 06:06:44 Privoxy(-150093696) Info: loading configuration file '/etc/privoxy/config':,E61,<*> Privoxy(<*>) Info: loading configuration file <*>
202,creating device node '/udev/lp0',E258,creating device node <*>
203,privoxy startup succeeded,E283,<*> startup succeeded
204,*** info [startup.c(95)]:,E213,*** info [startup.c(<*>)]:
205,Started gpm successfully. Entered daemon mode.,E46,Started gpm successfully. Entered daemon mode.
206,*** info [mice.c(1766)]:,E254,*** info [mice.c(<*>)]:
207,imps2: Auto-detected intellimouse PS/2,E73,imps2: Auto-detected intellimouse PS/2
208,gpm startup succeeded,E283,<*> startup succeeded
209,session opened for user htt by (uid=0),E208,session opened for user <*> by <*>
210,session closed for user htt,E227,session closed for user <*>
211,htt startup succeeded,E283,<*> startup succeeded
212,started.,E331,started.
213,succeeded,E328,succeeded
214,crond startup succeeded,E283,<*> startup succeeded
215,xfs startup succeeded,E283,<*> startup succeeded
216,anacron startup succeeded,E283,<*> startup succeeded
217,atd startup succeeded,E283,<*> startup succeeded
218,Starting background readahead:,E126,Starting background readahead:
219,Starting readahead: succeeded,E145,Starting readahead: succeeded
220,messagebus startup succeeded,E283,<*> startup succeeded
221,httpd startup succeeded,E283,<*> startup succeeded
222,Squid Parent: child process 2264 started,E109,Squid Parent: child process <*> started
223,starting BIND 9.2.3 -u named -t /var/named/chroot,E285,starting BIND <*> -u <*> -t <*>
224,using 1 CPU,E333,using <*> CPU
225,named startup succeeded,E283,<*> startup succeeded
226,loading configuration from '/etc/named.conf',E186,loading configuration from <*>
227,"listening on IPv4 interface lo, 127.0.0.1#53",E167,listening on IPv4 interface <*>
228,"listening on IPv4 interface eth0, 63.126.79.67#53",E167,listening on IPv4 interface <*>
229,"listening on IPv4 interface eth0:1, 63.126.79.69#53",E167,listening on IPv4 interface <*>
230,"listening on IPv4 interface eth0:2, 63.126.79.70#53",E167,listening on IPv4 interface <*>
231,"listening on IPv4 interface eth0:3, 63.126.79.71#53",E167,listening on IPv4 interface <*>
232,"listening on IPv4 interface eth0:4, 63.126.79.72#53",E167,listening on IPv4 interface <*>
233,"listening on IPv4 interface eth0:5, 63.126.79.73#53",E167,listening on IPv4 interface <*>
234,"listening on IPv4 interface eth0:6, 63.126.79.75#53",E167,listening on IPv4 interface <*>
235,"listening on IPv4 interface eth0:7, 63.126.79.80#53",E167,listening on IPv4 interface <*>
236,"listening on IPv4 interface eth0:8, 63.126.79.81#53",E167,listening on IPv4 interface <*>
237,"listening on IPv4 interface eth0:9, 63.126.79.82#53",E167,listening on IPv4 interface <*>
238,"listening on IPv4 interface eth0:10, 63.126.79.83#53",E167,listening on IPv4 interface <*>
239,snmpd startup succeeded,E283,<*> startup succeeded
240,"listening on IPv4 interface eth0:11, 63.126.79.84#53",E167,listening on IPv4 interface <*>
241,"listening on IPv4 interface eth0:12, 63.126.79.85#53",E167,listening on IPv4 interface <*>
242,NET-SNMP version 5.1.1,E290,NET-SNMP version <*>
243,"listening on IPv4 interface eth0:13, 63.126.79.87#53",E167,listening on IPv4 interface <*>
244,ntpd startup succeeded,E283,<*> startup succeeded
245,"listening on IPv4 interface eth0:14, 63.126.79.89#53",E167,listening on IPv4 interface <*>
246,"listening on IPv4 interface eth0:15, 63.126.79.90#53",E167,listening on IPv4 interface <*>
247,"listening on IPv4 interface eth0:16, 63.126.79.95#53",E167,listening on IPv4 interface <*>
248,"listening on IPv4 interface eth0:17, 63.126.79.100#53",E167,listening on IPv4 interface <*>
249,precision = 1.000 usec,E296,precision = <*> usec
250,"listening on IPv4 interface eth0:18, 63.126.79.105#53",E167,listening on IPv4 interface <*>
251,"listening on IPv4 interface eth0:19, 63.126.79.110#53",E167,listening on IPv4 interface <*>
252,kernel time sync status 0040,E226,kernel time sync status <*>
253,"listening on IPv4 interface eth0:20, 63.126.79.115#53",E167,listening on IPv4 interface <*>
254,frequency initialized 0.000 PPM from /var/lib/ntp/drift,E157,frequency initialized <*> PPM from <*>
255,"listening on IPv4 interface eth0:21, 63.126.79.120#53",E167,listening on IPv4 interface <*>
256,"listening on IPv4 interface eth0:22, 63.126.79.125#53",E167,listening on IPv4 interface <*>
257,"configure: keyword ""authenticate"" unknown, line ignored",E60,"configure: keyword <*> unknown, line ignored"
258,couldn't add command channel 127.0.0.1#953: not found,E95,couldn't add command channel <*> not found
259,couldn't add command channel ::1#953: not found,E95,couldn't add command channel <*> not found
260,Starting MySQL: succeeded,E193,Starting MySQL: succeeded
261,running,E338,running
262,"rsyncd version 2.6.2 starting, listening on port 873",E66,"rsyncd version <*> starting, listening on port <*>"
263,creating device node '/udev/vcs2',E258,creating device node <*>
264,creating device node '/udev/vcsa2',E258,creating device node <*>
265,creating device node '/udev/vcs1',E258,creating device node <*>
266,creating device node '/udev/vcsa1',E258,creating device node <*>
267,creating device node '/udev/vcs5',E258,creating device node <*>
268,creating device node '/udev/vcsa5',E258,creating device node <*>
269,removing device node '/udev/vcs2',E253,removing device node <*>
270,removing device node '/udev/vcsa8',E253,removing device node <*>
271,removing device node '/udev/vcsa5',E253,removing device node <*>
272,removing device node '/udev/vcs1',E253,removing device node <*>
273,removing device node '/udev/vcsa1',E253,removing device node <*>
274,removing device node '/udev/vcs5',E253,removing device node <*>
275,creating device node '/udev/vcs2',E258,creating device node <*>
276,removing device node '/udev/vcs8',E253,removing device node <*>
277,creating device node '/udev/vcsa3',E258,creating device node <*>
278,creating device node '/udev/vcs3',E258,creating device node <*>
279,removing device node '/udev/vcsa2',E253,removing device node <*>
280,creating device node '/udev/vcsa5',E258,creating device node <*>
281,creating device node '/udev/vcs1',E258,creating device node <*>
282,creating device node '/udev/vcs6',E258,creating device node <*>
283,creating device node '/udev/vcs4',E258,creating device node <*>
284,creating device node '/udev/vcsa6',E258,creating device node <*>
285,creating device node '/udev/vcsa4',E258,creating device node <*>
286,creating device node '/udev/vcsa1',E258,creating device node <*>
287,creating device node '/udev/vcs5',E258,creating device node <*>
288,removing device node '/udev/vcsa3',E253,removing device node <*>
289,removing device node '/udev/vcs3',E253,removing device node <*>
290,creating device node '/udev/vcsa2',E258,creating device node <*>
291,removing device node '/udev/vcs6',E253,removing device node <*>
292,removing device node '/udev/vcs4',E253,removing device node <*>
293,removing device node '/udev/vcsa6',E253,removing device node <*>
294,removing device node '/udev/vcsa4',E253,removing device node <*>
295,creating device node '/udev/vcsa3',E258,creating device node <*>
296,creating device node '/udev/vcs3',E258,creating device node <*>
297,creating device node '/udev/vcs6',E258,creating device node <*>
298,creating device node '/udev/vcs4',E258,creating device node <*>
299,creating device node '/udev/vcsa6',E258,creating device node <*>
300,creating device node '/udev/vcsa4',E258,creating device node <*>
301,creating device node '/udev/vcs7',E258,creating device node <*>
302,creating device node '/udev/vcsa7',E258,creating device node <*>
303,removing device node '/udev/vcs7',E253,removing device node <*>
304,removing device node '/udev/vcsa7',E253,removing device node <*>
305,creating device node '/udev/vcs7',E258,creating device node <*>
306,creating device node '/udev/vcsa7',E258,creating device node <*>
307,"synchronized to LOCAL(0), stratum=10",E119,"synchronized to LOCAL(<*>), stratum=<*>"
308,kernel time sync disabled 0041,E204,kernel time sync disabled <*>
309,kernel time sync enabled 0001,E214,kernel time sync enabled <*>
310,file descriptor of service comsat has been closed,E37,file descriptor of service comsat has been closed
311,select reported EBADF but no bad file descriptors were found,E15,select reported EBADF but no bad file descriptors were found
312,session opened for user cyrus by (uid=0),E208,session opened for user <*> by <*>
313,session closed for user cyrus,E227,session closed for user <*>
314,ALERT exited abnormally with [1],E173,ALERT exited abnormally with <*>
315,session opened for user news by (uid=0),E208,session opened for user <*> by <*>
316,session closed for user news,E227,session closed for user <*>
317,restart.,E332,restart.
318,syslogd startup succeeded,E283,<*> startup succeeded
319,"klogd 1.4.1, log source = /proc/kmsg started.",E187,"klogd <*>, log source = <*> started."
320,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004,E57,Linux version <*> (<*>) (gcc version <*> (Red Hat Linux <*>)) <*>
321,BIOS-provided physical RAM map:,E128,BIOS-provided physical RAM map:
322,BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),E244,BIOS-e820: <*> - <*> (usable)
323,BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),E219,BIOS-e820: <*> - <*> (reserved)
324,BIOS-e820: 0000000000100000 - 0000000007eae000 (usable),E244,BIOS-e820: <*> - <*> (usable)
325,BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved),E219,BIOS-e820: <*> - <*> (reserved)
326,BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved),E219,BIOS-e820: <*> - <*> (reserved)
327,126MB LOWMEM available.,E282,<*> LOWMEM available.
328,zapping low mappings.,E236,zapping low mappings.
329,On node 0 totalpages: 32430,E267,On node <*> totalpages: <*>
330,klogd startup succeeded,E283,<*> startup succeeded
331,"DMA zone: 4096 pages, LIFO batch:1",E188,"DMA zone: <*> pages, LIFO batch:<*>"
332,"Normal zone: 28334 pages, LIFO batch:6",E153,"Normal zone: <*> pages, LIFO batch:<*>"
333,irqbalance startup succeeded,E283,<*> startup succeeded
334,"HighMem zone: 0 pages, LIFO batch:1",E136,"HighMem zone: <*> pages, LIFO batch:<*>"
335,DMI 2.3 present.,E317,DMI <*> present.
336,ACPI disabled because your bios is from 2000 and too old,E38,ACPI disabled because your bios is from <*> and too old
337,You can enable it with acpi=force,E257,You can enable it with <*>
338,Built 1 zonelists,E298,Built <*> zonelists
339,Kernel command line: ro root=LABEL=/ rhgb quiet,E87,Kernel command line: ro root=<*> rhgb quiet
340,mapped 4G/4G trampoline to ffff3000.,E245,mapped <*> trampoline to <*>.
341,Initializing CPU#0,E284,Initializing CPU#<*>
342,"CPU 0 irqstacks, hard=02345000 soft=02344000",E198,"CPU <*> irqstacks, hard=<*> soft=<*>"
343,PID hash table entries: 512 (order 9: 4096 bytes),E96,PID hash table entries: <*> (order <*>: <*> bytes)
344,Detected 731.221 MHz processor.,E215,Detected <*> MHz processor.
345,Using tsc for high-res timesource,E124,Using tsc for high-res timesource
346,Console: colour VGA+ 80x25,E297,Console: colour <*>
