EventId,EventTemplate,Occurrences
E542,ARPT: <*>: wlc_dump_aggfifo:,418
E504,ARPT: <*>: framerdy <*> bmccmd <*> framecnt <*>,418
E379,ARPT: <*>: AQM agg params <*> maxlen hi/lo <*> minlen <*> adjlen <*>,418
E398,ARPT: <*>: AQM agg results <*> len hi/lo: <*> BAbitmap(<*>-<*>) <*>,418
E566,Received Capture Event,959
E584,CCFile::captureLog,968
E318,"CCFile::captureLog Received Capture notice id: <*>, reason = <*>",969
E314,"CCFile::copyFile fileName is [<*>]-<*>, source path:<*>, dest path:<*>",1283
E110,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,472
E235,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,472
E267,"CCFile::captureLogRun Skipping current file Dir file <*>, Current File <*>",1254
E310,CCFile::captureLogRun() Exiting CCFile::captureLogRun,1242
E492,doSaveChannels@<*>: Will write to: <*> - <*>,419
E448,AppleCamIn::handleWakeEvent_gated,701
E600,<*>: BSSID changed to <*>,1118
E119,Captive: [CNInfoNetworkActive:<*>] <*>: SSID <*> making interface primary (cache indicates network not captive),181
E575,network changed: DNS* <*>,181
E337,Captive: <*>: Not probing <*> (cache indicates not captive),181
E500,network changed: <*> DNS+ Proxy+ SMB,181
E387,"Unexpected payload found for message <*>, dataLen <*>",255
E311,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,521
E188,[<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: <*> Byte flume reports host available again.,212
E592,<*>(<*>) deny mach-lookup <*>,135
E352,############################## _getSysMsgList,343
E162,AOSKit ERROR: XPC CLIENT: Connection <*> event handler received event with type: [<*>]. Description: <*>,1
E376,Thermal pressure state: <*> Memory pressure state: <*>,1859
E534,FA||Url||taskID[<*>] dealloc,888
E574,ASL Sender Statistics,643
E301,"ARPT: <*>: <*>: Roamed or switched channel, reason #<*>, bssid <*>, last RSSI <*>",150
E286,mDNS_RegisterInterface: Frequent transitions for interface <*> (<*>),318
E275,"ARPT: <*>: <*>: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",445
E467,ARPT: <*>: <*>: setup_keepalive: Local IP: <*>,445
E350,"ARPT: <*>: <*>: setup_keepalive: Local port: <*>, Remote port: <*>",445
E380,"ARPT: <*>: <*>: setup_keepalive: Seq: <*>, Ack: <*>, Win size: <*>",445
E593,ARPT: <*>: <*>: MDNS: <*> Addr: <*>,1770
E515,"ARPT: <*>: <*>: MDNS: <*> SRV Recs, <*> TXT Recs",445
E336,ARPT: <*>: AirPort_Brcm43xx::powerChange: System Sleep,532
E129,"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: <*>, 'ExternalConnected': <*>, 'TimeRemaining': <*>,",532
E273,mDNS_DeregisterInterface: Frequent transitions for interface <*> (<*>),185
E454,Unable to start NetBIOS name service:,57
E227,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route,888
E434,CCProfileMonitor::freeResources done,55
E462,Got an XPC error: Connection invalid,55
E405,"CCDataTap::profileRemoved, Owner: <*>, Name: <*>",110
E417,"CCLogTap::profileRemoved, Owner: <*>, Name: <*>",165
E455,Location icon should now be in state <*>,1382
E256,"NETWORK: requery, <*>, <*>, <*>, <*>, <*>, items, fQueryRetries, <*> fLastRetryTimestamp, <*>",658
E15,"PBRequester failed with Error Error Domain=<*> Code=<*> <*>"" <*> {Error Domain=<*> Code=<*> <*>"" <*> <*> _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, <*> <*> _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}",102
E285,"NETWORK: no response from server, reachability, <*>, queryRetries, <*>",91
E155,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: [<*>] Network is down,210
E552,AutoSubmitPreference is <*>,23
E198,[<*>] [Refusing to parse response to PROPPATCH because of content-type: [<*>; charset=<*>].],265
E339,CCProfileMonitor::profileCallback Entered token:<*>,54
E392,CCProfileMonitor::setStreamEventHandler,54
E209,CCXPCService::setStreamEventHandler Registered for notification callback.,54
E388,"wifi scan failed with error: Error Domain=<*> <*> ""(<*>)""",5
E439,-> DNSServiceQueryRecord <*> (PTR) PID[<*>](),5
E93,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> <*>"" UserInfo={NSDescription=<*>}",446
E299,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,2304
E556,<*>(<*>) deny network-outbound <*>,1245
E127,dnssd_clientstub ConnectToServer: connect() failed path:<*> Socket:<*> Err:<*> Errno:<*> Operation not permitted,768
E329,Sandbox: com.apple.Addres(<*>) deny(<*>) network-outbound <*>,1659
E511,Unrecognized attribute value: <*>,355
E32,-[SOAPParser:<*> parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),355
E172,ARPT: <*>: ARPT: Wake Reason: <*>; Disconnect reason: Class <*> frame received from nonassociated STA,27
E319,tcp_connection_tls_session_error_callback_imp <*> <*> error <*>,271
E582,(DiskStore.Normal:<*>) <*> <*>,31
E393,Stream <*> is sending an event before being opened,108
E563,"RTC: Maintenance <*>, sleep <*>",251
E362,"arp_client_transmit(<*>) failed, Network is down (<*>)",9
E245,"DHCP <*>: ARP detect <*> failed, arp_client_transmit(<*>) failed, Network is down (<*>)",4
E287,[bootp_transmit.c:<*>] bootp_transmit(): bpf_write(<*>) failed: <*> (<*>),3
E473,DHCP <*>: INIT-REBOOT transmit failed,2
E514,full wake promotion (reason <*>) <*> ms,15
E520,Telling CSI to exit low power.,91
E178,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,1668
E279,CGXDisplayDidWakeNotification [<*>]: posting kCGSDisplayDidWake,117
E204,handle_will_sleep_auth_and_shield_windows: Reordering authw <*>(<*>) (lock state: <*>),26
E346,handle_will_sleep_auth_and_shield_windows: err <*>,26
E143,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Button (<*>),17
E438,<*> : Starting AirDrop server for user <*> on wake,91
E607,<*> : Scanning mode <*>,201
E606,button report: <*>,633
E312,Couldn't find a requirement string for masquerading client <*>,19
E478,AIDA Notification plugin running,50
E363,Checking iCDP status for DSID <*> (checkWithServer=<*>),35
E116,XPC Error while checking if iCDP is enabled for DSID <*>: Error Domain=<*> Code=<*> <*> UserInfo={NSDebugDescription=<*>},35
E495,Daemon connection invalidated!,35
E138,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",92
E292,Sandbox: SpotlightNetHelp(<*>) deny(<*>) ipc-posix-shm-read-data <*>,86
E343,Sandbox: SpotlightNetHelp(<*>) deny(<*>) file-read-data <*>,2
E368,CGSConnectionByID: <*> is not a valid connection ID.,31
E340,SpotlightNetHelp(<*>) deny ipc-posix-shm-read-data <*>:,6
E554,enabling pid=<*> for plug-in <*>,84
E125,Endpoint has been activated through legacy launch(<*>) APIs. Please switch to XPC or bootstrap_check_in(): <*>,59
E603,Session <*> created,18
E45,"securityd_xpc_dictionary_handler cloudd[<*>] copy_matching Error Domain=<*> Code=<*> <*>"" (paramErr: error in user parameter list) UserInfo={NSDescription=<*>}",244
E56,SecOSStatusWith error:[<*>] Error Domain=NSOSStatusErrorDomain Code=<*> <*> (paramErr: error in user parameter list) UserInfo={NSDescription=<*>},244
E323,"ignored is_io_service_close(<*>,IOHIDParamUserClient)",28
E411,Error in CoreDragRemoveTrackingHandler: <*>,65
E426,Error in CoreDragRemoveReceiveHandler: <*>,65
E589,plugin <*> invalidated,75
E257,host connection <NSXPCConnection: <*> connection from pid <*> invalidated,82
E374,Unable to simultaneously satisfy constraints:,273
E134,tcp_connection_destination_handle_tls_close_notify <*> closing socket due to TLS CLOSE_NOTIFY alert,46
E90,"Path not allowed in target domain: type = <*>, path = <*> error = <*>: The specified service did not ship in the requestor's bundle, origin = <*>",925
E464,KeychainGetICDPStatus: keychain: <*>,664
E481,KeychainGetICDPStatus: status: <*>,664
E533,<*> : Started generating hashes,10
E544,<*> : Adding my hashes manually,10
E524,<*> : Finished generating hashes,10
E221,ASSERTION FAILED: dvcAddrRef != <*> -[DriverServices getDeviceAddress:] line: <*>,151
E483,CFNetwork SSLHandshake failed (<*>),89
E427,Failed to <*> a scan - central is not powered on: <*>,110
E218,<*> <*> AM [AirPlayUIAgent] BecomingInactive: NSWorkspaceWillSleepNotification,11
E460,Peripheral manager is not powered on,147
E223,<*> <*> | I | VoipWrapper | DAVEngineImpl.cpp:<*>:Close | close video chat. llFriendUIN = <*>,247
E330,device_generate_desktop_screenshot: authw <*> shield <*>(<*>),117
E231,"device_generate_lock_screen_screenshot: authw <*>(<*>)[<*>, <*>, <*>, <*>] shield <*>(<*>), dev [<*>,<*>]",117
E598,no sleep images for <*>,36
E373,Service <*> tried to hijack endpoint <*> from owner: <*>,44
E69,"CoreAnimation: warning, deleted thread with uncommitted CATransaction; set CA_DEBUG_TRANSACTIONS=<*> in environment to log backtraces.",54
E471,kern_open_file_for_direct_io(<*>),137
E446,kern_open_file_for_direct_io took <*> ms,137
E459,"Opened file <*>, size <*>, extents <*>, maxio <*> ssd <*>",137
E397,"polled file major <*>, minor <*>, blocksize <*>, pollers <*>",137
E1,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp setupLoggerOutput] Agent settings: <KSAgentSettings:<*> bundleID=<*> lastCheck=<*> checkInterval=<*> uiDisplayInterval=<*> sleepInterval=<*> jitterInterval=<*> maxRunInterval=<*> isConsoleUser=<*> ticketStorePath=<*> runMode=<*> daemonUpdateEngineBrokerServiceName=<*> daemonAdministrationServiceName=<*> logEverything=<*> logBufferSize=<*> alwaysPromptForUpdates=<*> productIDToUpdate=(<*>) lastUIDisplayed=(<*>) alwaysShowStatusItem=<*> updateCheckTag=(<*>) printResults=<*> userInitiated=<*>,46
E226,"no application identifier provided, can't use provisioning profiles [pid=<*>]",43
E489,<*> : BTLE discovered device with hash <*>,13
E486,network changed: <*>(<*>) DNS* Proxy SMB,1
E485,-[ABAddressBook save] failed. (<*>),31
E128,<IMMacNotificationCenterManager: <*>: notification observer: <*> notification: __CFNotification <*> {name = <*>},147
E348,<IMMacNotificationCenterManager: <*>: NC Disabled: <*>,147
E569,<*> : Purged contact hashes,106
E484,<*> : Discoverable mode changed to Off,103
E570,<*> : BTLE scanning stopped,113
E355,<IMMacNotificationCenterManager: <*>: DND Enabled: <*>,147
E272,<IMMacNotificationCenterManager: <*>: Updating enabled: <*> (Topics: (,147
E416,magsafeStateChanged state changed old <*> new <*>,13
E341,Sandbox: storeaccountd(<*>) deny(<*>) file-write-create <*>,9
E430,storeaccountd(<*>) deny file-write-create <*>,11
E409,<INFO> RQD: create user info for daily using,5
E293,<WORKFLOW>: sdk send an request to server[<*>] with <*> and data[<*>] for <*>[<*>],24
E249,<INFO> RQD: UserInfoUploadHandler success finish request with <*> records,5
E360,<INFO> RQD: UserInfoUploadHandler clean <*> records,5
E401,<INFO> RQD: Persist userinfo data with count <*>,5
E465,"IOPMrootDomain: idle cancel, state <*>",107
E579,hibernate image path: <*>,57
E611,efi pagecount <*>,57
E367,hibernate_page_list_setall(preflight <*>) start,114
E450,hibernate_page_list_setall time: <*> ms,114
E288,"pages <*>, wire <*>, act <*>, inact <*>, cleaned <*> spec <*>, zf <*>, throt <*>, compr <*>, xpmapped <*>",114
E391,could discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>,57
E296,WARNING: hibernate_page_list_setall skipped <*> xpmapped pages,114
E254,hibernate_page_list_setall preflight pageCount <*> est comp <*> setfile <*> min <*>,57
E496,vm_compressor_flush - starting,57
E399,vm_compressor_flush completed - took <*> msecs,57
E289,hibernate_flush_memory: buffer_cache_gc freed up <*> wired pages,57
E261,"hibernate_alloc_pages act <*>, inact <*>, anon <*>, throt <*>, spec <*>, wire <*>, wireinit <*>",57
E548,hibernate_setup(<*>) took <*> ms,57
E521,hibernate_teardown started,57
E71,"hibernate_teardown: wired_pages <*>, free_pages <*>, active_pages <*>, inactive_pages <*>, speculative_pages <*>, cleaned_pages <*>, compressor_pages <*>",57
E266,hibernate_teardown_pmap_structs done: last_valid_compact_indx <*>,57
E364,"hibernate_teardown: mark_as_unneeded_pages <*>, <*>, <*>",57
E412,hibernate_teardown completed - discarded <*>,57
E408,did discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>,57
E381,hibernate_page_list_setall found pageCount <*>,57
E333,"IOHibernatePollerOpen, ml_get_interrupts_enabled <*>",57
E547,IOHibernatePollerOpen(<*>),57
E612,encryptStart <*>,57
E419,"bitmap_size <*>, previewSize <*>, writing <*> pages @ <*>",57
E530,hibernate_rebuild started,57
E271,hibernate_rebuild_pmap_structs done: last_valid_compact_indx <*>,57
E424,hibernate_rebuild completed - took <*> msecs,57
E325,"booter start at <*> ms smc <*> ms, [<*>, <*>, <*>] total <*> ms, dsply <*>, <*> ms, tramp <*> ms",57
E130,"hibernate_machine_init: state <*>, image pages <*>, sum was <*>, imageSize <*>, image1Size <*>, conflictCount <*>, nextFree <*>",57
E148,"hibernate_newruntime_map time: <*> ms, IOPolledFilePollersOpen(), ml_get_interrupts_enabled <*>",57
E512,IOPolledFilePollersOpen(<*>) <*> ms,57
E479,hibernate_machine_init reading,57
E510,PMStats: Hibernate read took <*> ms,57
E101,"hibernate_machine_init pagesDone <*> sum2 <*>, time: <*> ms, disk(<*>) <*> Mb/s, comp bytes: <*> time: <*> ms <*> Mb/s, crypt bytes: <*> time: <*> ms <*> Mb/s",57
E553,Previous shutdown cause: <*>,57
E304,[HID] [MT] AppleMultitouchDevice::willTerminate entered,57
E507,<*>: message service is terminated,57
E403,AppleActuatorDeviceUserClient::<*> Entered,114
E499,AppleActuatorDevice::<*> Entered,114
E357,[HID] [MT] AppleMultitouchDevice::stop entered,57
E453,AppleActuatorHIDEventDriver: stop,57
E529,Host controller terminated,57
E248,[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,114
E210,[BluetoothHIDDeviceController]ERROR: Could not find the disconnected object,114
E315,[HID] [MT] AppleActuatorHIDEventDriver::start entered,57
E531,BuildActDeviceEntry enter,57
E95,[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out <*> notification key,114
E539,BuildActDeviceEntry exit,57
E263,[BluetoothHIDDeviceController] EventServiceConnectedCallback,114
E487,Error: [<*>][<*>]Couldn't copy BD_ADDR,114
E353,[HID] [MT] AppleMultitouchDevice::start entered,57
E102,[HID] [MT] MTActuatorManagement::getActuatorRef Calling MTActuatorOpen() outside of MTTrackpadHIDManager.,57
E61,"CFPasteboardCopyDataReturn __CFPasteboardCopyData(CFPasteboardRef, CFIndex, CFIndex, CFStringRef, Boolean, Boolean) : Lock timeout",32
E186,CFPasteboardBeginGenerationReturn CFPasteboardBeginGeneration(<*>) : Lock timeout,13
E88,"int32_t CFPasteboardSetData(CFPasteboardRef, CFIndex, CFIndex, CFStringRef, CFDataRef, CFOptionFlags) : Lock timeout",4
E528,IOBluetoothUSBDFU::probe,57
E139,IOBluetoothUSBDFU::probe avoid Bluetooth automatic firmware update because USB Bluetooth active,57
E179,**** [IOBluetoothHostControllerUSBTransport][start] -- completed -- result = <*> -- <*> ****,57
E124,**** [BroadcomBluetoothHostControllerUSBTransport][start] -- Completed (matched on Device) -- <*> ****,57
E81,[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- <*>,57
E182,**** [BroadcomBluetoothHostController][SetupController] -- Delay HCI Reset by <*> ****,57
E215,"VDCAssistant: Found a camera (<*>) , but was not able to start it up (<*> -- (<*>) successful)",56
E233,[IOBluetoothHostController::setConfigState] calling registerService,57
E64,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- calling IOBluetoothFamily's registerService() -- <*> -- <*> -- <*> ****,57
E79,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- Connected to the transport successfully -- <*> -- <*> -- <*> ****,57
E461,INIT -- Host controller is published,114
E463,hciControllerOnline; HID devices? <*>,57
E236,"hostControllerOnline - Number of Paired devices = <*>, List of Paired devices = (",57
E509,CoreAnimation: timed out fence <*>,6
E375,vm_compressor_fastwake_warmup (<*> - <*>) - starting,6
E404,<*> : Discoverable mode changed to Contacts Only,105
E571,<*> : BTLE scanning started,112
E7,"[<*>] [Sync report for calendar home iCloud, failed with error Error Domain=NSURLErrorDomain <*> <*> <*> {Error Domain=kCFErrorDomainCFNetwork <*> <*> UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, <*> NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, <*>",12
E161,[<*>] [Adding [<CalDAVAccountRefreshQueueableOperation: <*> Sequence: <*>] to failed operations.],56
E3,"<*> <*>, <*>, <*>, [LogMessageLogging]: [<*>] - Request to send LogMessages of count (<*>) failed with Error: Error Domain=<*> Code=-<*> <*> UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=<*> <*> UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}",7
E327,vm_compressor_fastwake_warmup completed - took <*> msecs,6
E555,"DB Error: <*> ""no such table: <*>""",24
E106,"DB Query: select * from <*> where flag = <*> and type != <*> and bubbleid > <*> order by time desc, msgRelatedFlag asc, msgId desc limit <*>",24
E625,DB Path: <*>,24
E356,Internal name did not resolve to internal address!,12
E147,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <*>.,679
E414,Error returned from iconservicesagent: (<*>),679
E578,Invalid Connection ID <*>,15
E39,"In -[NSApplication(NSQuietSafeQuit) _updateCanQuitQuietlyAndSafely], _LSSetApplicationInformationItem(NSCanQuitQuietlyAndSafely) returned error <*>",15
E82,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Starting engine thread,19
E26,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] No functional system update engine detected. Only user tickets will be processed.,19
E48,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Checking with local engine: <KSUpdateEngine:<*>,19
E60,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp performSelfUpdateWithEngine:] Checking for self update with Engine: <KSUpdateEngine:<*>,19
E22,"<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp performSelfUpdateWithEngine:] This process may be killed if self-update is necessary. In such cases, sub-processes may still be running to complete the self-update.",19
E44,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp updateProductWithProductID:usingEngine:] Checking for updates for <*> using engine <KSUpdateEngine:<*>,38
E100,"<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateEngine updateProductID:] KSUpdateEngine updating product ID: ""<*>""",19
E117,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSCheckAction performAction] KSCheckAction checking <*> ticket(s).,38
E62,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateCheckAction performAction] KSUpdateCheckAction starting update check for ticket(s): {(,38
E9,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] +[KSCodeSigningVerification verifyBundle:applicationId:error:] KSCodeSigningVerification verifying code signing for <*> with the requirement 'anchor apple generic and certificate <*>[field.<*>] exists and certificate leaf[field.<*>] exists and certificate leaf[subject.OU]=<*> and (identifier=<*>)',38
E36,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateCheckAction performAction] KSUpdateCheckAction running KSServerUpdateRequest: <KSOmahaServerUpdateRequest:<*>,38
E29,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched <*> with process id: <*>,40
E67,"<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher beginFetchWithDelegate:] KSOutOfProcessFetcher fetching from URL: ""<*>""",40
E208,<*> <*> ksfetch[<*>] [lvl=<*>] KSHelperReceiveAllData() KSHelperTool read <*> bytes from stdin.,40
E196,<*> <*> ksfetch[<*>] [lvl=<*>] main() Fetcher received a request: <NSMutableURLRequest: <*> { URL: <*> },40
E320,<*> <*> ksfetch[<*>] [lvl=<*>] main() Fetcher received a download path: <*>,40
E173,<*> <*> ksfetch[<*>] [lvl=<*>] main() ksfetch fetching URL (<NSMutableURLRequest: <*> { URL: <*> }) to folder:<*>,40
E309,<*> <*> ksfetch[<*>] [lvl=<*>] main() Setting up download file handles...,40
E105,<*> <*> ksfetch[<*>] [lvl=<*>] -[FetchDelegate fetcher:finishedWithData:] Fetcher downloaded successfully data of length: <*>,36
E378,<*> <*> ksfetch[<*>] [lvl=<*>] main() ksfetch done fetching.,40
E407,<*> <*> ksfetch[<*>] [lvl=<*>] main() Fetcher is exiting.,40
E43,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperErrorAvailable:] KSOutOfProcessFetcher helper tool raw STDERR:,35
E46,"<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: ""<*>""",40
E18,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateCheckAction(KSServerUpdateRequestDelegate) serverRequest:fetchedWithResponse:] KSUpdateCheckAction received KSServerUpdateResponse: <KSOmahaServerUpdateResponse:<*>,36
E24,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOmahaServer updateInfosForUpdateResponse:updateRequest:infoStore:upToDateTickets:updatedTickets:events:errors:] Response passed CUP validation.,36
E65,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateCheckAction(PrivateMethods) finishAction] KSUpdateCheckAction found updates: {( )},38
E97,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSPrefetchAction performAction] KSPrefetchAction no updates to prefetch.,38
E87,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSMultiUpdateAction performAction] KSSilentUpdateAction had no updates to apply.,38
E68,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp(KeystoneDelegate) updateEngineFinishedWithErrors:] Keystone finished: errors=<*>,38
E73,<*> <*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateEngine(PrivateMethods) updateFinish] KSUpdateEngine update processing complete.,38
